"Diplomanti terciarnega izobraževanja po statistièni regiji stalnega prebivališèa, Slovenija, letno"

"STATISTIÈNA REGIJA";"2009 Število diplomantov";"2010 Število diplomantov";"2011 Število diplomantov";"2012 Število diplomantov";"2013 Število diplomantov";"2014 Število diplomantov";"2015 Število diplomantov";"2016 Število diplomantov";"2017 Število diplomantov";"2018 Število diplomantov"
"SLOVENIJA";18103;19694;20461;21043;19175;18824;18631;30967;16458;16680
"Pomurska";847;981;1141;1057;913;872;1021;1495;804;859
"Podravska";2510;2898;2944;3244;2794;2563;2617;4367;2272;2271
"Koroška";644;721;781;824;732;675;682;1033;559;543
"Savinjska";2394;2676;2791;2759;2448;2319;2328;3799;2095;2102
"Zasavska";369;428;406;412;376;513;478;769;413;428
"Posavska";570;612;690;718;675;693;651;989;582;575
"Jugovzhodna Slovenija";1291;1378;1420;1385;1443;1396;1339;2024;1161;1159
"Osrednjeslovenska";4907;5265;5154;5518;5100;5086;4940;8918;4363;4438
"Gorenjska";1857;1863;2095;2073;1866;1840;1764;2978;1520;1574
"Primorsko-notranjska";467;532;508;545;439;445;471;739;405;410
"Goriška";1110;1230;1264;1203;1178;1155;1131;1757;1007;1029
"Obalno-kraška";909;866;929;938;858;868;701;1403;720;732
"Stalno bivališèe neznano ali v tujini";228;244;338;367;353;399;508;696;557;560
