"Diplomanti terciarnega izobraževanja po vrsti izobraževanja in spolu, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"2009 Spol - SKUPAJ";"2009 Moški";"2009 Ženske";"2010 Spol - SKUPAJ";"2010 Moški";"2010 Ženske";"2011 Spol - SKUPAJ";"2011 Moški";"2011 Ženske";"2012 Spol - SKUPAJ";"2012 Moški";"2012 Ženske";"2013 Spol - SKUPAJ";"2013 Moški";"2013 Ženske";"2014 Spol - SKUPAJ";"2014 Moški";"2014 Ženske";"2015 Spol - SKUPAJ";"2015 Moški";"2015 Ženske";"2016 Spol - SKUPAJ";"2016 Moški";"2016 Ženske";"2017 Spol - SKUPAJ";"2017 Moški";"2017 Ženske";"2018 Spol - SKUPAJ";"2018 Moški";"2018 Ženske"
"Vrsta izobraževanja - SKUPAJ";18103;6911;11192;19694;7531;12163;20461;8115;12346;21043;8263;12780;19175;7376;11799;18824;7455;11369;18631;7267;11364;30967;12557;18410;16458;6367;10091;16680;6507;10173
"Višje strokovno";3170;1582;1588;3677;1732;1945;4832;2358;2474;3712;1874;1838;2349;1228;1121;2194;1208;986;1784;976;808;1832;1012;820;1885;1026;859;1992;1099;893
"Višješolski (stari)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";4860;1801;3059;4279;1686;2593;3179;1258;1921;2482;999;1483;1388;601;787;943;465;478;673;360;313;4446;2212;2234;-;-;-;-;-;-
"Visokošolsko strokovno (1. bolonjska stopnja)";672;199;473;1331;394;937;1897;743;1154;3113;1160;1953;3384;1189;2195;3649;1355;2294;3978;1548;2430;3893;1597;2296;3806;1464;2342;3931;1572;2359
"Visokošolsko univerzitetno (1. bolonjska stopnja)";1115;325;790;1997;694;1303;2963;1049;1914;4202;1498;2704;5027;1792;3235;5416;1987;3429;5564;2036;3528;5341;1870;3471;5104;1854;3250;4871;1790;3081
"Visokošolsko univerzitetno (prejšnje)";5900;1938;3962;6235;2067;4168;5341;1727;3614;4850;1669;3181;4062;1376;2686;2991;1052;1939;1937;668;1269;6921;2734;4187;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";42;20;22;53;13;40;54;14;40;39;9;30;57;18;39;182;53;129;393;115;278;643;184;459;711;237;474;639;218;421
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";442;168;274;630;270;360;860;338;522;1368;503;865;1715;622;1093;2431;885;1546;3279;1118;2161;3980;1416;2564;4438;1518;2920;4786;1616;3170
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";1436;621;815;1027;424;603;812;343;469;708;269;439;472;168;304;349;118;231;281;107;174;2999;1113;1886;-;-;-;-;-;-
"Doktorsko (prejšnje)";455;256;199;430;231;199;457;250;207;468;235;233;415;218;197;254;102;152;192;75;117;375;156;219;-;-;-;-;-;-
"Doktorsko (3. bolonjska stopnja)";11;1;10;35;20;15;66;35;31;101;47;54;306;164;142;415;230;185;550;264;286;537;263;274;514;268;246;461;212;249
