"Študenti terciarnega izobraževanja po vrsti izobraževanja in naèinu študija, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18";"2018/19"
"Vrsta izobraževanja - SKUPAJ";"Naèin študija - SKUPAJ";114873;107134;104003;99877;92769;85616;80798;79547;76534;75991
"Vrsta izobraževanja - SKUPAJ";"Redni";80467;79732;79543;77507;73833;69606;65269;62909;60343;59133
"Vrsta izobraževanja - SKUPAJ";"Izredni";34406;27402;24460;22370;18936;16010;15529;16638;16191;16858
"Višje strokovno";"Naèin študija - SKUPAJ";16594;15595;14403;13406;13251;11485;11162;11001;10353;10566
"Višje strokovno";"Redni";7497;7999;7992;7293;7948;6897;6538;6347;5964;5707
"Višje strokovno";"Izredni";9097;7596;6411;6113;5303;4588;4624;4654;4389;4859
"Višješolski";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-
"Višješolski";"Redni";-;-;-;-;-;-;-;-;-;-
"Višješolski";"Izredni";-;-;-;-;-;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Naèin študija - SKUPAJ";10374;5679;2721;462;45;1;1;-;-;-
"Visokošolsko strokovno (prejšnje)";"Redni";7092;4151;1982;310;9;-;-;-;-;-
"Visokošolsko strokovno (prejšnje)";"Izredni";3282;1528;739;152;36;1;1;-;-;-
"Visokošolsko strokovno (1. bolonjska stopnja)";"Naèin študija - SKUPAJ";22748;24517;25374;25798;23914;21748;20378;19962;19331;19077
"Visokošolsko strokovno (1. bolonjska stopnja)";"Redni";14090;15772;16834;17481;16700;15479;14017;13182;12600;12382
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";8658;8745;8540;8317;7214;6269;6361;6780;6731;6695
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Naèin študija - SKUPAJ";24006;27626;29859;30565;29060;27144;24913;24162;22509;22271
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";21565;25410;27731;28536;27320;25677;23632;22700;21609;21445
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";2441;2216;2128;2029;1740;1467;1281;1462;900;826
"Visokošolsko univerzitetno (prejšnje)";"Naèin študija - SKUPAJ";25251;17943;12468;7620;2686;498;38;-;-;-
"Visokošolsko univerzitetno (prejšnje)";"Redni";23098;16237;11398;6982;2443;491;38;-;-;-
"Visokošolsko univerzitetno (prejšnje)";"Izredni";2153;1706;1070;638;243;7;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Naèin študija - SKUPAJ";1688;2474;3211;3854;4399;4704;4794;4770;4687;4515
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";1565;2380;3094;3749;4312;4628;4756;4724;4612;4457
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";123;94;117;105;87;76;38;46;75;58
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Naèin študija - SKUPAJ";6752;9236;11868;14566;16398;17392;17181;17094;16830;16473
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";4289;6848;9618;12390;14383;15727;15624;15368;14884;14476
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";2463;2388;2250;2176;2015;1665;1557;1726;1946;1997
"Specialistièno";"Naèin študija - SKUPAJ";169;-;-;-;-;-;-;-;-;-
"Specialistièno";"Redni";43;-;-;-;-;-;-;-;-;-
"Specialistièno";"Izredni";126;-;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Naèin študija - SKUPAJ";3882;79;1;2;1;-;-;-;-;-
"Magistrsko (prejšnje)";"Redni";516;4;-;-;-;-;-;-;-;-
"Magistrsko (prejšnje)";"Izredni";3366;75;1;2;1;-;-;-;-;-
"Doktorsko (prejšnje)";"Naèin študija - SKUPAJ";1298;1057;645;174;7;-;-;-;-;-
"Doktorsko (prejšnje)";"Redni";362;283;171;14;-;-;-;-;-;-
"Doktorsko (prejšnje)";"Izredni";936;774;474;160;7;-;-;-;-;-
"Doktorsko (3. bolonjska stopnja)";"Naèin študija - SKUPAJ";2111;2928;3453;3430;3008;2644;2331;2558;2824;3089
"Doktorsko (3. bolonjska stopnja)";"Redni";350;648;723;752;718;707;664;588;674;666
"Doktorsko (3. bolonjska stopnja)";"Izredni";1761;2280;2730;2678;2290;1937;1667;1970;2150;2423
